no,soru,beklenen_cevap,kaynak_dosyalar,tip
146,"Çelik köprülerde hangi boya sistemi uygulanır?","C5 korozyon sınıfına uygun üç katlı sistem; tam yenileme 15 yılda bir (örnek: Taşlıdere Köprüsü).","kopru_bakim_onarim_el_kitabi.docx",sayisal
147,"Deprem izolatörlü köprüler hangileri ve izolatör muayenesi ne sıklıkta?","Liman Kavşağı Viyadüğü ve Ovacık Köprüsü; izolatörler 5 yılda bir özel muayeneden geçer.","kopru_bakim_onarim_el_kitabi.docx",sayisal
148,"Sanat yapısı ne demektir?","Köprü, viyadük, tünel, menfez ve istinat duvarı gibi karayolu mühendislik yapılarının ortak adıdır.","kisaltmalar_ve_terimler_sozlugu.txt",tekil
149,"YOGT ve WIM kısaltmaları ne anlama gelir?","YOGT: Yıllık Ortalama Günlük Trafik (araç/gün); WIM: Hareket Halinde Tartım.","kisaltmalar_ve_terimler_sozlugu.txt",tekil
150,"Sanat yapılarının bakım ve onarımı hangi esaslara göre yürütülür?","Köprü ve Viyadük Bakım-Onarım El Kitabına göre; üstyapıdan ayrı program ve bütçe kalemiyle yürütülür.","kopru_bakim_onarim_el_kitabi.docx",es_anlamli
151,"KÖSOB ve YİD kısaltmalarının açılımı nedir?","KÖSOB: Kamu-Özel Sektör Ortaklığı; YİD: Yap-İşlet-Devret — yüklenicinin yapımı finanse edip işleterek devrettiği model.","kisaltmalar_ve_terimler_sozlugu.txt;kosob_uygulama_esaslari.pdf",coklu_dokuman
152,"KGM SSS'ine göre tartı toleransı nasıl hesaplanır?","En çok (aracın azami ağırlığının yüzde 3,75'i) + 500 kilogram; taşımacıya tanınmış bir hak değil, mağduriyet önleme esnekliğidir.","kgm_denetim_istasyonlari_sss.txt",sayisal
153,"Trafik idari para cezasına itiraz nereye ve kaç gün içinde yapılır?","Tebliğden itibaren 15 gün içinde Sulh Ceza Mahkemelerine.","kgm_denetim_istasyonlari_sss.txt",sayisal
154,"Hangi araçlar denetim istasyonuna zorunlu girişten muaftır?","3.500 kg ve altı kamyonet/panelvan, cenaze, naklen yayın ve çöp araçları, yarı römorksuz çekiciler, yük taşımayan özel amaçlı araçlar ve görev halindeki geçiş üstünlüklü araçlar.","kgm_denetim_istasyonlari_sss.txt",tekil
155,"Trafik cezası erken ödenirse ne kadar indirim uygulanır?","Tebliğden itibaren 30 gün içinde ödenirse dörtte bir (yüzde 25) indirim.","kgm_denetim_istasyonlari_sss.txt",sayisal
156,"Ticari araçlar için Özel İzin Belgesi kaç gün geçerlidir?","15 gün süreli düzenlenir; bir taşıma ve gidiş yönü için verilen Özel Yük Taşıma İzin Belgesinden farklıdır.","kgm_denetim_istasyonlari_sss.txt",sayisal
